Q_ID,Question,Std_LogProb,MCMC_LogProb,Diff,Std_Tokens,MCMC_Tokens,Std_Correct,MCMC_Correct,MCMC_AcceptRatio
0,"Convert the point $(0,3)$ in rectangular coordinat...",-47.31744028261183,-50.385065339203834,-3.067625056592007,476,332,✗,✗,0.5
1,"Define
\[p = \sum_{k = 1}^\infty \frac{1}{k^2} \qu...",-778.8273731939308,-167.13623257010806,611.6911406238228,1219,909,✗,✓,0.31666666666666665
2,"If $f(x) = \frac{3x-2}{x-2}$, what is the value of...",-95.73961682305838,-27.523139609663787,68.2164772133946,439,486,✗,✓,0.8
3,How many positive whole-number divisors does 196 h...,-68.35297526401271,-33.9746314810217,34.37834378299101,210,551,✓,✓,0.675
4,The results of a cross-country team's training run...,-142.38227938357323,-77.9968980034858,64.38538138008744,475,467,✓,✓,0.45
5,A regular hexagon can be divided into six equilate...,-45.360263523410616,-43.88883242443009,1.4714310989805242,184,306,✓,✓,0.7
6,What is the smallest positive perfect cube that ca...,-19.6938014462877,-42.14235514034024,-22.448553694052542,388,449,✓,✓,0.6333333333333333
7,"The set of points $(x,y,z)$ that satisfy
\[2x = 3y...",-75.26781390177916,-119.97545994434427,-44.7076460425651,457,672,✗,✗,0.55
8,"What is the distance, in units, between the points...",-4.5874280708694215,-18.625121264932375,-14.037693194062953,396,382,✓,✓,0.85
9,The expression $2\cdot 3 \cdot 4\cdot 5+1$ is equa...,-124.65647982287636,-200.4962654700202,-75.83978564714384,1001,756,✗,✗,0.46
10,What is the least positive integer multiple of 30 ...,-50.66464082195709,-58.00163478536797,-7.336993963410876,215,381,✗,✓,0.5
11,"Let $p(x)$ be a polynomial of degree 5 such that
\...",-230.96015011215695,-179.3111394414553,51.64901067070164,398,936,✗,✗,0.36
12,"The proper divisors of 12 are 1, 2, 3, 4 and 6. A ...",-20.102114000047067,-69.59529179313589,-49.49317779308882,831,675,✓,✓,0.6
13,The volume of the cylinder shown is $45\pi$ cubic ...,-56.47703884297351,-62.40563901106364,-5.928600168090128,366,318,✓,✓,0.4666666666666667
14,Suppose $\sin D = 0.7$ in the diagram below. What ...,-32.48405243824131,-59.10546393088734,-26.621411492646033,294,252,✗,✗,0.4
15,"Let $z = 2 + \sqrt{2} - (3 + 3 \sqrt{2})i$, and le...",-732.6128712052835,-163.43380197602525,569.1790692292582,2894,603,✗,✗,0.5
16,Compute: $1-2+3-4+5- \dots +99-100$....,-170.60711854992044,-30.739155991019913,139.86796255890053,284,307,✗,✓,0.725
17,Below is the graph of $y = a \sin (bx + c) + d$ fo...,-109.82350289383027,-170.2027454328211,-60.37924253899084,568,554,✓,✓,0.5333333333333333
18,$\overline{BC}$ is parallel to the segment through...,-63.1627630153705,-104.18813020050871,-41.02536718513821,328,531,✗,✓,0.475
19,Let $a$ be a positive real number such that all th...,-95.87013800664018,-93.52057929451385,2.349558712126324,743,812,✓,✓,0.62
